SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697022546.713473,6249,5567.5,3776,3385.0,2663,2610.0,8,3,9,40
1697022548.531758,5716,4275.0,4154,2815.0,3524,2940.0,8,4,9,40
1697022550.581333,5709,7605.0,3018,4020.0,3140,4150.0,8,2,9,40
1697022552.920077,5161,6800.0,2832,3615.0,2940,3930.0,8,2,9,40
1697022555.335878,6846,17115.0,1932,4830.0,3240,8100.0,8,1,9,40
1697022559.56335,6204,5940.0,3148,2785.0,3059,3082.5,8,3,9,40
1697022561.582712,6193,6202.5,3628,3060.0,3455,3105.0,8,3,9,40
1697022563.64759,6041,5087.5,3530,3100.0,2766,2610.0,8,3,9,40
1697022565.241914,5313,3662.5,4164,2840.0,3584,2420.0,8,4,9,40
1697022567.101811,7068,5165.0,4138,2765.0,4478,4535.0,8,4,9,40
1697022569.006932,6088,15220.0,1942,4855.0,3046,7615.0,8,1,9,40
1697022572.664414,5824,14560.0,2170,5425.0,2978,7445.0,8,1,9,40
1697022576.382457,7505,5882.5,4472,2945.0,4709,3717.5,8,4,9,40
1697022578.3891,5626,4445.0,3894,2640.0,3446,2510.0,8,4,9,40
1697022580.329957,5922,8145.0,2776,3720.0,3089,4495.0,8,2,9,40
1697022582.835511,6691,6545.0,3584,3090.0,3119,3062.5,8,3,9,40
1697022584.889694,5428,13570.0,2094,5235.0,2856,7140.0,8,1,9,40
1697022588.750347,4596,6107.5,2978,3795.0,3252,4115.0,8,2,9,40
1697022591.028026,5648,4727.5,3334,3205.0,4855,5020.0,8,3,9,40
1697022592.967037,5607,4975.0,3734,3220.0,2934,2652.5,8,3,9,40
1697022594.836516,7029,9787.5,2934,3780.0,3336,4215.0,8,2,9,40
1697022597.574431,6160,15400.0,2156,5390.0,2640,6600.0,8,1,9,40
1697022600.806289,6465,16162.5,2146,5365.0,3284,8210.0,8,1,9,40
1697022605.23141,6163,8175.0,2954,3935.0,2790,3580.0,8,2,9,40
1697022607.832791,4555,11387.5,2270,5675.0,2758,6895.0,8,1,9,40
1697022611.204686,5976,8770.0,2970,3970.0,2890,3790.0,8,2,9,40
1697022613.626393,6325,15812.5,2074,5185.0,2634,6585.0,8,1,9,40
1697022617.280543,5436,13590.0,2020,5050.0,3016,7540.0,8,1,9,40
1697022621.228827,5765,7432.5,2858,3980.0,3174,4050.0,8,2,9,40
1697022623.99366,6584,8657.5,2968,3775.0,3048,3925.0,8,2,9,40
1697022626.602349,6777,6435.0,3608,3270.0,3026,2925.0,8,3,9,40
